,location_id,date,daily_avg_temp
1594,4,2023-05-15,14.895833333333334
1595,4,2023-05-16,16.175
1596,4,2023-05-17,17.941666666666666
1597,4,2023-05-18,15.262500000000001
1598,4,2023-05-19,13.125
1599,4,2023-05-20,17.604166666666668
1600,4,2023-05-21,18.875
1601,4,2023-05-22,20.1375
1602,4,2023-05-23,21.141666666666666
1603,4,2023-05-24,21.916666666666668
1604,4,2023-05-25,22.195833333333336
1605,4,2023-05-26,22.683333333333334
1606,4,2023-05-27,22.933333333333334
1607,4,2023-05-28,24.462500000000002
1608,4,2023-05-29,23.354166666666668
1609,4,2023-05-30,21.3875
1610,4,2023-05-31,23.9375
1611,4,2023-06-01,23.75
1612,4,2023-06-02,25.395833333333332
1613,4,2023-06-03,23.95
1614,4,2023-06-04,22.90833333333333
1615,4,2023-06-05,18.270833333333332
1616,4,2023-06-06,14.8125
1617,4,2023-06-07,16.0625
1618,4,2023-06-08,16.908333333333335
1619,4,2023-06-09,15.866666666666667
1620,4,2023-06-10,18.029166666666665
1621,4,2023-06-11,13.941666666666668
1622,4,2023-06-12,13.308333333333332
1623,4,2023-06-13,15.620833333333332
1624,4,2023-06-14,18.575
1625,4,2023-06-15,21.095833333333335
1626,4,2023-06-16,19.8625
1627,4,2023-06-17,20.420833333333334
1628,4,2023-06-18,14.354166666666666
1629,4,2023-06-19,10.345833333333333
1630,4,2023-06-20,11.179166666666667
1631,4,2023-06-21,12.445833333333333
1632,4,2023-06-22,12.341666666666667
1633,4,2023-06-23,14.5875
1634,4,2023-06-24,16.345833333333335
1635,4,2023-06-25,15.804166666666667
1636,4,2023-06-26,14.112499999999999
1637,4,2023-06-27,17.545833333333334
1638,4,2023-06-28,19.804166666666667
1639,4,2023-06-29,22.087500000000002
1640,4,2023-06-30,23.599999999999998
1641,4,2023-07-01,24.041666666666668
1642,4,2023-07-02,18.408333333333335
1643,4,2023-07-03,21.71666666666667
1644,4,2023-07-04,23.90416666666667
1645,4,2023-07-05,25.208333333333332
1646,4,2023-07-06,24.8625
1647,4,2023-07-07,24.2
1648,4,2023-07-08,24.587500000000002
1649,4,2023-07-09,27.075
1650,4,2023-07-10,30.829166666666666
1651,4,2023-07-11,32.50416666666667
1652,4,2023-07-12,23.1125
1653,4,2023-07-13,17.358333333333334
1654,4,2023-07-14,17.3875
1655,4,2023-07-15,19.254166666666666
1656,4,2023-07-16,18.320833333333333
1657,4,2023-07-17,18.283333333333335
1658,4,2023-07-18,18.654166666666665
1659,4,2023-07-19,20.441666666666666
1660,4,2023-07-20,20.099999999999998
1661,4,2023-07-21,20.599999999999998
1662,4,2023-07-22,19.383333333333333
1663,4,2023-07-23,19.316666666666666
1664,4,2023-07-24,18.945833333333333
1665,4,2023-07-25,20.783333333333335
1666,4,2023-07-26,22.508333333333336
1667,4,2023-07-27,25.020833333333332
1668,4,2023-07-28,25.645833333333332
1669,4,2023-07-29,25.491666666666664
1670,4,2023-07-30,27.116666666666664
1671,4,2023-07-31,24.583333333333332
1672,4,2023-08-01,20.05
1673,4,2023-08-02,21.754166666666666
1674,4,2023-08-03,23.27916666666667
1675,4,2023-08-04,22.070833333333336
1676,4,2023-08-05,23.087500000000002
1677,4,2023-08-06,23.933333333333334
1678,4,2023-08-07,23.3125
1679,4,2023-08-08,21.516666666666666
1680,4,2023-08-09,22.150000000000002
1681,4,2023-08-10,23.070833333333336
1682,4,2023-08-11,20.354166666666668
1683,4,2023-08-12,20.108333333333334
1684,4,2023-08-13,20.904166666666665
1685,4,2023-08-14,21.320833333333333
1686,4,2023-08-15,23.945833333333336
1687,4,2023-08-16,24.816666666666666
1688,4,2023-08-17,25.34583333333333
1689,4,2023-08-18,24.804166666666664
1690,4,2023-08-19,22.608333333333334
1691,4,2023-08-20,17.266666666666666
1692,4,2023-08-21,13.85
1693,4,2023-08-22,15.5
1694,4,2023-08-23,15.4125
1695,4,2023-08-24,13.333333333333334
1696,4,2023-08-25,13.229166666666666
1697,4,2023-08-26,13.070833333333333
1698,4,2023-08-27,12.483333333333334
1699,4,2023-08-28,9.941666666666666
1700,4,2023-08-29,11.641666666666666
1701,4,2023-08-30,13.058333333333332
1702,4,2023-08-31,13.758333333333333
1703,4,2023-09-01,15.404166666666667
1704,4,2023-09-02,14.266666666666666
1705,4,2023-09-03,13.570833333333333
1706,4,2023-09-04,14.766666666666666
1707,4,2023-09-05,16.345833333333335
1708,4,2023-09-06,16.470833333333335
1709,4,2023-09-07,15.304166666666667
1710,4,2023-09-08,11.145833333333334
1711,4,2023-09-09,13.5875
1712,4,2023-09-10,12.612499999999999
1713,4,2023-09-11,11.7875
1714,4,2023-09-12,14.512500000000001
1715,4,2023-09-13,14.15
1716,4,2023-09-14,14.9625
1717,4,2023-09-15,15.470833333333333
1718,4,2023-09-16,15.070833333333333
1719,4,2023-09-17,13.891666666666666
1720,4,2023-09-18,14.016666666666666
1721,4,2023-09-19,11.058333333333332
1722,4,2023-09-20,9.729166666666666
1723,4,2023-09-21,13.383333333333333
1724,4,2023-09-22,17.150000000000002
1725,4,2023-09-23,16.641666666666666
1726,4,2023-09-24,16.720833333333335
1727,4,2023-09-25,16.724999999999998
1728,4,2023-09-26,14.854166666666666
1729,4,2023-09-27,11.5625
1730,4,2023-09-28,12.583333333333334
1731,4,2023-09-29,12.25
1732,4,2023-09-30,12.104166666666666
1733,4,2023-10-01,11.095833333333333
1734,4,2023-10-02,13.174999999999999
1735,4,2023-10-03,12.833333333333334
1736,4,2023-10-04,12.299999999999999
1737,4,2023-10-05,12.612499999999999
1738,4,2023-10-06,10.641666666666667
1739,4,2023-10-07,9.758333333333333
1740,4,2023-10-08,6.891666666666667
1741,4,2023-10-09,6.529166666666666
1742,4,2023-10-10,4.695833333333334
1743,4,2023-10-11,4.004166666666666
1744,4,2023-10-12,4.0125
1745,4,2023-10-13,5.658333333333334
1746,4,2023-10-14,7.429166666666666
1747,4,2023-10-15,7.795833333333333
1748,4,2023-10-16,11.262500000000001
1749,4,2023-10-17,10.091666666666667
1750,4,2023-10-18,4.433333333333334
1751,4,2023-10-19,5.183333333333334
1752,4,2023-10-20,4.3875
1753,4,2023-10-21,3.2708333333333335
1754,4,2023-10-22,-0.28750000000000003
1755,4,2023-10-23,1.2041666666666666
1756,4,2023-10-24,5.445833333333333
1757,4,2023-10-25,-1.7666666666666666
1758,4,2023-10-26,-2.0166666666666666
1759,4,2023-10-27,-2.4625
1760,4,2023-10-28,-0.6083333333333333
1761,4,2023-10-29,4.170833333333333
1762,4,2023-10-30,1.1416666666666666
1763,4,2023-10-31,1.1375
1764,4,2023-11-01,3.3833333333333333
1765,4,2023-11-02,8.570833333333333
1766,4,2023-11-03,8.137500000000001
1767,4,2023-11-04,1.4416666666666667
1768,4,2023-11-05,-0.125
1769,4,2023-11-06,3.1916666666666664
1770,4,2023-11-07,5.279166666666667
1771,4,2023-11-08,2.983333333333333
